Airway Assessment entries	Count	Percentage	Percentage included	Map to
No compromise	4558890	0.782945426236398	0.944416574799884	Allowable for All RST
Endotracheal tube	566398	0.097273398465294		Allowable for PSV,CMV,HFOV,HFJV
Tracheostomy	294979	0.050659800715917		
Oropharyngeal airway	78828	0.013537949382276		
No compromise, Patent	55727	0.00957057524263		
Positional	39628	0.006805727128949		
Stridorous	22447	0.003855055941847		
Critical, Endotracheal tube	12877	0.002211500662145		
Critical, Tracheostomy	12234	0.002101071608347		
Critical	9900	0.001700229599692		
No compromise, Tracheostomy	7735	0.001328411712487		
No compromise, Positional	6596	0.00113279943834		
No compromise, Stridorous	5812	0.000998154993274		
No compromise, Oropharyngeal airway	5565	0.000955735123463		
Positional, Stridorous	5164	0.000886867237658		
No compromise, Endotracheal tube	4297	0.000737968342412		
Patent	3614	0.000620669674069		
Nasopharyngeal airway	3380	0.000580482428986		
No compromise, Vocal cord paralysis	3295	0.000565884498079		
Vocal cord paralysis	2841	0.000487914373003		
Cervical spine immobilized	2548	0.000437594446466		
Tenuous	2384	0.000409429026835		
Critical, Positional	2226	0.000382294049385		
 	1893	0.000325104508305		
No compromise, Cervical spine immobilized	1457	0.000250225709773		
No compromise, Critical	1410	0.000242153912683		
Tracheostomy, Vocal cord paralysis	1355	0.000232708192685		
Oropharyngeal airway, Patent	1284	0.000220514626869		
Stridorous, Vocal cord paralysis	1258	0.000216049377415		
Endotracheal tube, Vocal cord paralysis	983	0.000168820777424		
Edematous	934	0.000160405499607		
No compromise, Other:	846	0.00014529234761		
Patent, Positional	836	0.000143574943974		
Critical, Stridorous	806	0.000138422733066		
Positional, Other: soft collar	721	0.000123824802159		
Cervical spine immobilized, Endotracheal tube	711	0.000122107398523		
Endotracheal tube, Positional	615	0.000105620323617		
Nasopharyngeal airway, Positional	614	0.000105448583254		
Oropharyngeal airway, Positional	556	9.54876421645262E-05		
Stenotic	546	9.37702385284736E-05		
Unprotected	543	9.32550174376578E-05		
Critical, Endotracheal tube, Tenuous	532	9.13658734379999E-05		
No compromise, Tenuous	501	8.60419221662368E-05		
No compromise, Unprotected	489	8.39810378029736E-05		
No compromise, Other: upper airway congestion	471	8.08897112580789E-05		
Critical, Tenuous	467	8.02027498036578E-05		
Critical, Endotracheal tube, Positional	448	7.69396828951578E-05		
Positional, Unprotected	438	7.52222792591052E-05		
No compromise, Nasopharyngeal airway	408	7.00700683509473E-05		
Patent, Tracheostomy	370	6.35439345339473E-05		
Positional, Tenuous	354	6.07960887162631E-05		
Critical, Tracheostomy, Other: Not patent from above	347	5.95939061710263E-05		
Other: upper airway congestion	345	5.92504254438157E-05		
No compromise, Edematous	345	5.92504254438157E-05		
No compromise, Patent, Positional	337	5.78765025349736E-05		
No compromise, Positional, Stridorous	324	5.56438778081052E-05		
Patent, Stridorous	321	5.51286567172894E-05		
Endotracheal tube, Tenuous	290	4.98047054455263E-05		
Critical, Patent	271	4.65416385370263E-05		
Endotracheal tube, Patent	270	4.6369898173421E-05		
