ODD FiO2 entries	Count	Percentage	Percentage included	Map to
Ventilator	3057244	0.4938826921098	0.956895413945507	Allowable for BIPAP, CPAP, PSV, CMV, HFOV, HFJV
None	648929	0.104831279907041		RA
BiPAP	559839	0.090439229733727		BIPAP
Blow-By	544021	0.087883909836528		BB
CPAP	357856	0.057809872116077		CPAP
High-flow nasal cannula	314989	0.050884919654752		HFNC
Trach collar	304159	0.049135386560387		
Face tent	72787	0.01175838091778		MASK
Aerosol mask	63572	0.010269743109416		MASK
Continuous albuterol by mask	58110	0.009387383944003		
Hand-bag ETT	23680	0.003825387227568		
Double-barrel, high-flow high-FiO2 aerosol mask	17099	0.002762259130245		
Other: nasal cannula	17040	0.002752727971189		
Hand-bag mask	16343	0.002640131058283		
Other	14159	0.002287316628173		
Venti-Mask	11786	0.001903970180073		
Infant cube	10116	0.001634189915291		
Other: HME	8553	0.001381694972863		
Home ventilator	6756	0.001091398484352		
Other: NC	6578	0.001062643462118		
Other:	6313	0.001019834018904		
Hand-bag Trach	6142	0.000992209812151		
Other: HFOV	5618	0.000907560196135		
Other: Nasal Cannula	2767	0.000446995205181		
Other: nasal canula	2353	0.000380115546726		
Other: face mask	2327	0.000375915374939		
Other: cool mist	2276	0.000367676576434		
Other: Nasal cannula	2102	0.000339567734474		
Other: simple mask	1671	0.000269941809851		
Other: HFJV	1259	0.000203385241533		
Other: shovel mask	1188	0.000191915541653		
Other: neb	1171	0.000189169275485		
Other: nc	1116	0.000180284296705		
T-Piece	1008	0.000162837429282		
Other: hme	922	0.000148944553371		
 	807	0.000130366870467		
Other: mask	791	0.000127782149367		
Other: scoop mask	718	0.000115989359349		
Other: nebulizer	699	0.000112920003044		
Other: speaking valve	659	0.000106458200294		
Other: room air	595	9.61193158954047E-05		
Other: low flow nasal cannula	487	7.86724484723733E-05		
Other: end tidal	464	7.49569118915425E-05		
Other: heliox	439	7.09182851732482E-05		
Other: Nasal Canula	435	7.02721048983211E-05		
Other: non rebreather	395	6.38103021490502E-05		
Other: NIPPV	376	6.07409458431465E-05		
Other: humidified blow by	358	5.78331346059746E-05		
Other: Cool Mist	358	5.78331346059746E-05		
Other: sip and puff	321	5.1855967062899E-05		
Other: Neb	275	4.44248939012375E-05		
Other: PMV	259	4.18401728015291E-05		
Other: hfov	253	4.08709023891385E-05		
Other: nonrebreather	249	4.02247221142114E-05		
Other: high flow nasal cannula	237	3.82861812894301E-05		
Other: facemask	233	3.7640001014503E-05		
Other: low flow	233	3.7640001014503E-05		
Other: Face mask	212	3.42475545711358E-05		
Other: low low flow meter	187	3.02089278528415E-05		
Other: simple face mask	187	3.02089278528415E-05		
Other: Nasal canula	183	2.95627475779144E-05		
Other: humidified O2 via blow by	182	2.94012025091826E-05		
