ODD L/Min entries	Count	Percentage	Percentage included	Map to
Nasal cannula	2404547	0.579100666657194	0.964702402985977	NC
None	710627	0.171144323419173		RA
Simple mask	314191	0.07566839723145		
Blow-By	248526	0.059853923538049		BB
High-flow nasal cannula	175692	0.04231289898943		HFNC
CPAP	76473	0.018417425519766		CPAP
BiPAP	75590	0.018204767630917		BIPAP
Nonrebreather mask	21192	0.005103789332377		
Artificial nose with oxygen port	12613	0.003037660194851		
Other	10335	0.002489036558613		
Other: trach collar	8308	0.002000862673338		
Home ventilator	7851	0.001890800776165		
Other:	6383	0.001537254025508		
Other: ventilator	5075	0.001222240980644		
Other: vent	3309	0.000796925202946		
Other: Trach collar	2889	0.000695774225238		
Other: cool mist	1798	0.000433022518857		
Other: HME	1642	0.000395452155708		
Other: neb	1639	0.000394729648724		
Other: aerosol mask	1582	0.000381002016035		
Other: ventilator 40%	1561	0.00037594446715		
Other: HFOV	1437	0.00034608084516		
Other: trach mask	1182	0.000284667751551		
Other: continuous neb	985	0.000237223126293		
Other: Vent	976	0.000235055605342		
 	892	0.0002148254098		
Other: cont neb	883	0.000212657888849		
Other: shovel mask	870	0.000209527025253		
Other: nebulizer	862	0.000207600339964		
Other: scoop mask	852	0.000205191983352		
Other: Ventilator	818	0.00019700357087		
Other: VENT	817	0.000196762735209		
Other: Cont. Alb	800	0.000192668528969		
Other: continuous albuterol	762	0.000183516773843		
Other: Trach Collar	714	0.000171956662104		
Other: trach	703	0.000169307469831		
Other: cont albuterol	686	0.000165213263591		
Other: face mask	623	0.000150040616934		
Other: room air	609	0.000146668917677		
Other: aero mask	603	0.00014522390371		
Other: face tent	600	0.000144501396726		
Other: cool humidified mist	583	0.000140407190486		
Other: TC	580	0.000139684683502		
Other: cont. alb	553	0.00013318212065		
Other: intubated nasally with 3.5 cuffed et	545	0.00013125543536		
Other: cont. neb	541	0.000130292092715		
Other: cont. albuterol	506	0.000121862844573		
Other: nasal cannula	505	0.000121622008911		
Other: Humidified air, trach collar	490	0.000118009473993		
Other: humidifed blow by	477	0.000114878610398		
Other: Home vent settings	473	0.000113915267753		
Other: Continuous Albuterol	446	0.0001074127049		
Other: ventalator 40%	435	0.000104763512627		
Other: Cont. Neb	414	9.97059637412279E-05		
Other: Continuous neb	369	8.88683589867466E-05		
Other: continuous albuterol neb	367	8.83866876643252E-05		
Other: humidified oxygen via blowby	336	8.09207821667936E-05		
Other: PMV	322	7.75490829098439E-05		
Other: Cont. Albuterol	321	7.73082472486332E-05		
Other: mist mask	287	6.91198347674696E-05		
