VM entries	Count	Percentage	Percentage included	Map to
PCV -SIMV + PSV	610451	0.538312780862216	0.952043548193663	CMV
PSV	134505	0.118610274354326		PSV
BIPAP (S/T)	125836	0.110965707472963		BIPAP
CPAP	117524	0.103635953185515		CPAP
PRVC-SIMV	27132	0.023925757137516		CMV
BiPAP	21286	0.018770590683664		BIPAP
HFOV 3100-A	16323	0.014394078348654		HFOV
VCV-SIMV + PSV	13403	0.01181914060571		CMV
PRVC	13165	0.0116092655431		CMV
Pressure - A/C	12746	0.011239779613548		CMV
PCV	8984	0.007922342699522		
NIPPV	8311	0.007328872459454		
NPPV-PSV	7978	0.007035223737399		
S/T	6076	0.005357986892509		
VCV	3618	0.003190453682866		
Volume - A/C	3064	0.002701920974102		
HFOV	1049	0.000925037565873		
HFOV 3100-B	984	0.000867718746252		
TCPL-SIMV	691	0.000609343143964		
AVAPS	288	0.000253966462318		
VSV	243	0.000214284202581		
APRV	124	0.000109346671276		
NAVA	64	5.64369916261614E-05		
 	63	5.55551636320026E-05		
VG-SIMV	36	3.17458077897158E-05		
TCPL-AC	35	3.0863979795557E-05		
VG-PSV	29	2.55730118306044E-05		
